acpi 1.7-3
acpilight 1.2-2
acsccid 1.1.8-1
alsa-lib 1.2.4-3
alsa-oss 1.1.8-3
alsa-utils 1.2.4-2
amd-ucode 20210315.3568f96-1
autoconf 2.71-1
automake 1.16.3-1
base 2-2
bat 0.18.0-2
betterlockscreen 3.0.1-6
binutils 2.36.1-2
bison 3.7.6-1
blueman 2.1.4-1
bluez 5.58-1
bluez-utils 5.58-1
brave-bin 1:1.22.71-1
bspwm 0.9.10-1
cadmus-appimage 0.0.3-1
capitaine-cursors 4-1
catimg 2.7.0-1
cgminer 4.10.0-4
chafa 1.4.1-2
cmatrix 2.0-2
cronie 1.5.7-2
dialog 1:1.3_20210324-1
dmenu 5.0-1
dnsmasq 2.85-1
dropbox 118.4.460-1
dunst 1.5.0-1
efibootmgr 17-2
evince 40.1-1
fakeroot 1.25.3-2
feh 3.6.3-1
ffmpegthumbnailer 2.2.2-2
file 5.40-2
findutils 4.8.0-1
firefox 88.0-1
flex 2.6.4-3
gawk 5.1.0-1
gcc 10.2.0-6
gettext 0.21-1
ghostscript 9.54.0-2
gimp 2.10.24-1
git 2.31.1-1
go 2:1.16.3-1
gparted 1.2.0-2
grep 3.6-1
groff 1.22.4-5
grub 2:2.04-10
gst-libav 1.18.4-1
gst-plugins-base 1.18.4-1
gst-plugins-base-libs 1.18.4-1
gst-plugins-good 1.18.4-2
gst-plugins-ugly 1.18.4-2
gtop 1.1.0-1
gvfs-mtp 1.48.0-2
gzip 1.10-3
htop 3.0.5-1
imagemagick 7.0.11.8-1
inkscape 1.0.2-5
iw 5.9-1
jdk8-openjdk 8.u292-1
joyutils 1.7.1-2
jp2a 1.1.0-2
jpegexiforient 1:20090111.b4f886f-2
jstest-gtk-git 0.1.0.r98.g7a51eef-1
kdenlive 21.04.0-1
keepassxc 2.6.4-1
leafpad 0.8.18.1-9
lib32-mesa 21.0.3-1
lib32-tclkit 8.6.6-3
libnotify 0.7.9-1
libraw 0.20.2-1
libreoffice-fresh 7.1.2-3
libtool 2.4.6+42+gb88cebd5-14
linux 5.11.16.arch1-1
linux-firmware 20210315.3568f96-1
linux-headers 5.11.16.arch1-1
lm_sensors 1:3.6.0.r41.g31d1f125-1
lolcat 100.0.0-3
